word,id_list,skip_table
图鉴,"[1013001, 1019338, 1021425, 1021847, 1026411, 1032645, 1061563, 1066462, 1358416, 1367964, 1905830, 2131415, 2258803, 3316422, 3608170]","[{'index': 3, 'value': 1021847}, {'index': 6, 'value': 1061563}, {'index': 9, 'value': 1367964}, {'index': 12, 'value': 2258803}, {'index': 14, 'value': 3608170}]"
休刊,[1791390],"[{'index': None, 'value': None}]"
黃,"[1015699, 1041482, 1049361, 1050175, 1057244, 1458164, 1858410, 3577218]","[{'index': 2, 'value': 1049361}, {'index': 4, 'value': 1057244}, {'index': 6, 'value': 1858410}, {'index': 7, 'value': 3577218}]"
1950,[1059336],"[{'index': None, 'value': None}]"
雄,"[1102403, 1204889, 1485495]","[{'index': 1, 'value': 1204889}, {'index': 2, 'value': 1485495}, {'index': 2, 'value': 1485495}]"
女文,"[1006113, 1059336, 1068920, 1082334, 1090043, 1322248, 1361264, 1752755]","[{'index': 2, 'value': 1068920}, {'index': 4, 'value': 1090043}, {'index': 6, 'value': 1361264}, {'index': 7, 'value': 1752755}]"
止不住,[1089243],"[{'index': None, 'value': None}]"
王晓峰,[1759860],"[{'index': None, 'value': None}]"
SocialScience,"[1013369, 1032501, 1927902, 3908032]","[{'index': 2, 'value': 1927902}, {'index': 3, 'value': 3908032}]"
中华书局,"[1013267, 1014561, 1049348, 1077847, 1858410, 1981042]","[{'index': 2, 'value': 1049348}, {'index': 4, 'value': 1858410}, {'index': 5, 'value': 1981042}]"
榭,[1012203],"[{'index': None, 'value': None}]"
彗星,[1762869],"[{'index': None, 'value': None}]"
沈复,[1088581],"[{'index': None, 'value': None}]"
士夫,[1041482],"[{'index': None, 'value': None}]"
抑,[1465324],"[{'index': None, 'value': None}]"
学苑,"[1030200, 2250587, 3678694, 4010969, 4173403]","[{'index': 2, 'value': 3678694}, {'index': 4, 'value': 4173403}, {'index': 4, 'value': 4173403}]"
该读,[1036274],"[{'index': None, 'value': None}]"
宝贝,"[1006073, 1011662, 1016523, 1021425, 1023500, 1029159, 1030052, 1057197, 1058234, 1063190, 1064828, 1065239, 1065970, 1080812, 1082154, 1085883, 1087145, 1255598, 1312333, 1400705, 1436348, 1456034, 1529893, 1793721, 1902628, 1914572, 2233893, 2256438, 2317973, 2339950, 3016219, 3087020, 3274182, 3667783]","[{'index': 5, 'value': 1029159}, {'index': 10, 'value': 1064828}, {'index': 15, 'value': 1085883}, {'index': 20, 'value': 1436348}, {'index': 25, 'value': 1914572}, {'index': 30, 'value': 3016219}, {'index': 33, 'value': 3667783}]"
不以暴,[1255288],"[{'index': None, 'value': None}]"
fvbrtrt,[1030200],"[{'index': None, 'value': None}]"
烈火,[1083257],"[{'index': None, 'value': None}]"
German,"[1047138, 1292416, 2971734]","[{'index': 1, 'value': 1292416}, {'index': 2, 'value': 2971734}, {'index': 2, 'value': 2971734}]"
越写,[1871471],"[{'index': None, 'value': None}]"
司湯,[1205394],"[{'index': None, 'value': None}]"
图形学,[1040771],"[{'index': None, 'value': None}]"
觀點,"[1030052, 2133074, 2256039, 2256438, 2317973, 2382705]","[{'index': 2, 'value': 2256039}, {'index': 4, 'value': 2317973}, {'index': 5, 'value': 2382705}]"
梵蒂冈,[1228110],"[{'index': None, 'value': None}]"
四年级,"[1069848, 1400717, 2035162, 2052596, 4238362, 4242172, 5275059, 5317075, 5366275]","[{'index': 3, 'value': 2052596}, {'index': 6, 'value': 5275059}, {'index': 8, 'value': 5366275}]"
医药,[3181927],"[{'index': None, 'value': None}]"
福楼拜,"[1083477, 1205370]","[{'index': 1, 'value': 1205370}, {'index': 1, 'value': 1205370}]"
SimonedeBeauvoir,[1004322],"[{'index': None, 'value': None}]"
