doc_freq,posting_ptr,term_ptr,term_length
11,0,0,2
1,88,2,4
1,96,6,3
1,104,9,3
90,112,12,2
7,832,14,3
1,888,17,3
3,896,20,7
4,920,27,6
13,952,33,2
43,1056,35,3
2,1400,38,7
22,1416,45,2
37,1592,47,2
39,1888,49,2
1,2200,51,8
48,2208,59,2
6,2592,61,6
151,2640,67,2
1,3848,69,6
1,3856,75,4
1,3864,79,4
187,3872,83,2
1,5368,85,4
1,5376,89,4
19,5384,93,4
2,5536,97,4
1,5552,101,4
1,5560,105,7
177,5568,112,2
1,6984,114,4
1,6992,118,4
3,7000,122,4
2,7024,126,4
5,7040,130,13
2,7080,143,8
3,7096,151,2
100,7120,153,2
38,7920,155,3
1,8224,158,5
1,8232,163,3
3,8240,166,3
8,8264,169,3
1,8328,172,3
1,8336,175,3
2,8344,178,8
41,8360,186,2
3,8688,188,3
1,8712,191,12
1,8720,203,3
1,8728,206,6
1,8736,212,7
41,8744,219,2
3,9072,221,3
9,9096,224,5
29,9168,229,2
1,9400,231,5
1,9408,236,4
1,9416,240,3
6,9424,243,2
1,9472,245,4
1,9480,249,7
38,9488,256,2
1,9792,258,3
1,9800,261,5
8,9808,266,5
1,9872,271,9
1,9880,280,4
1,9888,284,4
1,9896,288,4
1,9904,292,3
1,9912,295,4
10,9920,299,2
1,10000,301,4
59,10008,305,2
2,10480,307,5
1,10496,312,4
40,10504,316,2
1,10824,318,5
1,10832,323,5
1,10840,328,4
1,10848,332,4
1,10856,336,4
1,10864,340,4
2,10872,344,4
1,10888,348,4
1,10896,352,4
1,10904,356,4
1,10912,360,4
1,10920,364,4
1,10928,368,4
1,10936,372,4
1,10944,376,4
1,10952,380,4
1,10960,384,4
1,10968,388,4
72,10976,392,2
1,11552,394,4
2,11560,398,4
1,11576,402,4
1,11584,406,4
1,11592,410,4
1,11600,414,5
1,11608,419,4
1,11616,423,4
1,11624,427,4
1,11632,431,4
6,11640,435,5
1,11688,440,4
3,11696,444,4
2,11720,448,4
4,11736,452,5
1,11768,457,4
1,11776,461,4
1,11784,465,4
1,11792,469,4
2,11800,473,4
1,11816,477,4
1,11824,481,4
2,11832,485,5
1,11848,490,4
1,11856,494,4
2,11864,498,4
1,11880,502,4
2,11888,506,4
3,11904,510,4
2,11928,514,5
1,11944,519,4
1,11952,523,4
1,11960,527,4
1,11968,531,4
2,11976,535,4
2,11992,539,4
4,12008,543,4
4,12040,547,4
7,12072,551,5
1,12128,556,4
1,12136,560,4
1,12144,564,4
2,12152,568,4
4,12168,572,4
3,12200,576,4
16,12224,580,5
1,12352,585,4
5,12360,589,4
2,12400,593,4
14,12416,597,4
1,12528,601,4
3,12536,605,4
5,12560,609,4
3,12600,613,4
6,12624,617,4
10,12672,621,5
3,12752,626,4
7,12776,630,4
8,12832,634,4
11,12896,638,4
11,12984,642,4
16,13072,646,4
17,13200,650,4
21,13336,654,4
31,13504,658,4
2,13752,662,3
2,13768,665,4
3,13784,669,4
1,13808,673,5
1,13816,678,4
2,13824,682,5
107,13840,687,2
2,14696,689,3
32,14712,692,4
1,14968,696,5
17,14976,701,5
61,15112,706,4
96,15600,710,4
23,16368,714,6
131,16552,720,4
23,17600,724,6
23,17784,730,6
108,17968,736,4
23,18832,740,6
7,19016,746,6
125,19072,752,4
7,20072,756,6
14,20128,762,6
173,20240,768,4
1,21624,772,8
14,21632,780,6
26,21744,786,6
3,21952,792,6
326,21976,798,4
1,24584,802,6
2,24592,808,6
1,24608,814,6
1,24616,820,6
2,24624,826,6
26,24640,832,6
21,24848,838,6
1,25016,844,6
5,25024,850,8
460,25064,858,4
5,28744,862,6
2,28784,868,6
1,28800,874,8
1,28808,882,8
3,28816,890,6
2,28840,896,8
2,28856,904,6
1,28872,910,8
2,28880,918,6
3,28896,924,6
1,28920,930,8
1,28928,938,8
17,28936,946,6
14,29072,952,6
1,29184,958,6
1,29192,964,8
1,29200,972,6
