word,offset,length
cat,0,6
怅惘,6,81
D版,87,8
书架上,95,107
伤痛,202,18
南来北往,220,3
莫里斯,223,3
沒,226,21
beat,247,12
in,259,30
长者,289,15
结壮,304,3
雙語,307,3
尔菲,310,3
垮,313,3
张智渊,316,4
补录,320,22
s0s,342,3
总论,345,3
一株,348,3
撕心裂肺,351,3
MilanKundera,354,31
深深,385,10
非我族类,395,15
古典小说,410,84
掂量,494,3
师下,497,3
古汉语,500,26
坐下,526,4
中醫,530,3
上风,533,25
同居,558,3
已送,561,9
200803,570,6
Sexology,576,3
海莲,579,3
热学,582,3
美术,585,121
career,706,25
大盗,731,3
苦恼,734,3
医疗,737,3
奇诡,740,3
Greed,743,3
柯林斯,746,3
语文课,749,6
寫眞集,755,3
宿命,758,47
回事,805,3
IS,808,3
冯氏,811,4
围聚,815,6
唐七,821,4
江國,825,3
变,828,10
苦瓜,838,3
词典,841,10
不耐,851,3
画儿,854,25
這本,879,3
丢失,882,3
安德烈,885,7
洛图,892,20
妙笔,912,3
査,915,3
不复存在,918,3
哥伦比亚,921,12
博斗,933,35
王安忆,968,11
经史子集,979,20
马里奥,999,3
HansAndersen,1002,3
哑口无言,1005,4
涓,1009,4
Dale,1013,3
艾丝美,1016,3
黄山,1019,4
十五年,1023,14
发家史,1037,3
无意,1040,9
淑,1049,4
離,1053,12
鞭子,1065,3
Spanish,1068,3
飘去,1071,4
汤川,1075,7
防止,1082,3
大道理,1085,6
DA,1091,56
旋转,1147,6
农场,1153,6
好久好久,1159,5
画报,1164,6
黑铁,1170,5
易中,1175,3
FrenchLiterature,1178,3
自转,1181,12
卡罗,1193,3
闲着,1196,34
抨击,1230,3
难读,1233,3
伯,1236,3
Entertainment,1239,3
回肠荡气,1242,3
完毕,1245,3
毁灭,1248,21
儒教,1269,6
唐诺,1275,12
正經,1287,31
Brone1989,1318,3
PKU,1321,3
忠实,1324,3
碰,1327,18
具体,1345,4
2008,1349,887
渐兄,2236,3
Rock,2239,6
色戒,2245,4
流星,2249,3
非腐漫,2252,82
我聞,2334,18
不累,2352,3
寿辰,2355,3
1941,2358,3
七三版,2361,5
一嘆,2366,3
好样,2369,14
著文,2383,17
气质,2400,7
ais,2407,40
诸幻,2447,10
疯狂,2457,112
另一面,2569,3
广而告之,2572,4
隨筆,2576,189
Essays,2765,26
DeathNote,2791,3
劉瑜,2794,7
顾里,2801,4
报应,2805,3
代替,2808,3
言说,2811,6
品,2817,17
暴风雪,2834,6
丹,2840,27
推薦,2867,45
燕七,2912,3
麥克,2915,4
烂漫,2919,24
氏,2943,4
