doc_freq,posting_ptr,term_ptr,term_length
573,0,0,2
46,4584,2,3
42,4952,5,4
1,5288,9,6
1,5296,15,8
1,5304,23,6
1,5312,29,6
1,5320,35,6
1,5328,41,6
1,5336,47,5
1,5344,52,5
3,5352,57,3
1,5376,60,3
41,5384,63,4
1,5712,67,3
15,5720,70,3
1,5840,73,6
2,5848,79,3
26,5864,82,5
401,6072,87,3
73,9280,90,2
2,9864,92,3
1,9880,95,4
1,9888,99,7
1,9896,106,7
1,9904,113,4
1,9912,117,3
1,9920,120,4
1,9928,124,4
32,9936,128,2
1,10192,130,3
1,10200,133,4
1,10208,137,4
1,10216,141,4
1,10224,145,3
13,10232,148,3
1,10336,151,3
112,10344,154,2
403,11240,156,2
1,14464,158,8
2,14472,166,4
70,14488,170,2
3,15048,172,4
1,15072,176,3
1,15080,179,3
204,15088,182,2
1,16720,184,3
1,16728,187,4
1,16736,191,3
1,16744,194,3
1,16752,197,5
504,16760,202,2
1,20792,204,6
1,20800,210,3
1,20808,213,3
279,20816,216,2
1,23048,218,3
3,23056,221,4
51,23080,225,4
2,23488,229,4
1,23504,233,5
48,23512,238,4
1,23896,242,6
2,23904,248,6
1,23920,254,6
1,23928,260,6
1,23936,266,4
58,23944,270,4
11,24408,274,4
1,24496,278,6
1,24504,284,4
1,24512,288,3
52,24520,291,6
465,24936,297,2
33,28656,299,4
14,28920,303,4
1,29032,307,6
1,29040,313,4
1,29048,317,6
1,29056,323,6
1,29064,329,6
14,29072,335,4
1,29184,339,8
2,29192,347,4
1,29208,351,6
18,29216,357,4
1,29360,361,6
1,29368,367,6
1,29376,373,6
1,29384,379,6
1,29392,385,6
1,29400,391,6
1,29408,397,6
1,29416,403,6
2,29424,409,6
1,29440,415,6
1,29448,421,7
1,29456,428,3
56,29464,431,6
616,29912,437,2
102,34840,439,3
2,35656,442,4
85,35672,446,5
54,36352,451,6
1,36784,457,6
1,36792,463,7
20,36800,470,4
1,36960,474,6
1,36968,480,6
1,36976,486,6
13,36984,492,4
1,37088,496,6
1,37096,502,6
1,37104,508,6
3,37112,514,4
1,37136,518,6
13,37144,524,4
1,37248,528,6
1,37256,534,6
1,37264,540,6
1,37272,546,6
1,37280,552,6
1,37288,558,6
1,37296,564,6
1,37304,570,5
1,37312,575,4
1,37320,579,6
1,37328,585,6
1,37336,591,6
6,37344,597,3
19,37392,600,4
1,37544,604,6
1,37552,610,6
1,37560,616,6
1,37568,622,6
1,37576,628,6
1,37584,634,6
1,37592,640,6
1,37600,646,6
1,37608,652,6
1,37616,658,6
1,37624,664,6
1,37632,670,6
1,37640,676,4
1,37648,680,13
