word,offset,length
鸟鸟,0,3
NodameCantabile,3,3
SamNeill,6,7
秦丽,13,4
FrankHarper,17,3
QuentinTarantion,20,3
白雪公主,23,3
PaulGreengrass,26,8
布拉德利,34,9
葫芦兄弟,43,3
oldmovie,46,12
补录,58,27
tudor,85,3
amenabar,88,3
Documentary,91,107
黄仁雷,198,3
LindaHamilton,201,5
纸巾,206,18
丝丝入扣,224,50
日本帝国,274,3
傑克森,277,3
MAIL,280,3
同居,283,6
百万元,289,3
精气神,292,4
Ward,296,5
career,301,4
大盗,305,12
Spancey,317,4
蓝之蓝,321,3
旋风,324,6
这烂,330,3
下攻,333,3
田豐,336,3
Hulk,339,3
Brucewills,342,3
撼动,345,16
Eason,361,15
李绮红,376,3
画儿,379,143
麯,522,3
BetteDavis,525,3
iraq,528,3
缝,531,8
阿人,539,4
寶島,543,37
mattdamon,580,15
善雅,595,3
挣,598,3
哑口无言,601,6
家人,607,144
黄山,751,3
FOX,754,146
seeker,900,3
开心辞典,903,4
米开朗基罗,907,3
低吟,910,3
三文鱼,913,3
共黨,916,6
駿,922,25
德威克,947,4
blake,951,6
铁路,957,7
房市,964,4
RorgerMichell,968,3
GENE,971,3
Entertainment,974,37
我覺,1011,61
完毕,1072,10
毁灭,1082,105
¨,1187,47
负分,1234,4
忠实,1238,9
碰,1247,3
scent,1250,3
痛失,1253,3
ao,1256,3
空房子,1259,3
bpleyn,1262,3
HighSchoolMusical,1265,3
1941,1268,8
拘谨,1276,4
玩劣,1280,3
李立安,1283,4
無厘頭,1287,37
气质,1324,230
半路出家,1554,4
由衣,1558,9
Acker,1567,3
姚晨,1570,26
金杯奖,1596,4
DeathNote,1600,6
喜闻乐见,1606,65
mean,1671,9
代替,1680,9
Cayouette,1689,3
追完,1692,62
Taken,1754,4
暴风雪,1758,4
雷德福,1762,10
烂漫,1772,30
李兆基,1802,10
那双,1812,3
fghfdgh,1815,3
十一点,1818,4
好歹,1822,20
BernardHill,1842,6
Nov,1848,23
forget,1871,3
JeromeBixby,1874,4
southpark,1878,3
Transformer,1881,6
里亚蒂,1887,4
爱意,1891,3
光怪陆离,1894,3
偏袒,1897,3
＂,1900,50
Unrated,1950,3
贝克汉姆,1953,3
王璁,1956,4
寻回,1960,3
赵箭,1963,3
第二次,1966,104
皮尔斯,2070,30
劉躍進,2100,4
SofiaCoppla,2104,3
马德森,2107,13
樊篱,2120,6
丘克,2126,3
脑积水,2129,4
留底,2133,19
BURN,2152,4
情同手足,2156,3
Beloved,2159,14
南极,2173,14
猴多,2187,3
pianista,2190,3
韓影,2193,21
鲁赫曼,2214,8
shchool,2222,3
领袖,2225,5
redley,2230,12
Major,2242,3
尼康,2245,4
用尽,2249,6
solace,2255,3
土屋,2258,12
案列选,2270,4
降,2274,3
手相,2277,3
Brasil,2280,4
代课老师,2284,3
匪,2287,18
法國,2305,203
伟民,2508,10
到家,2518,6
VIP,2524,9
夢時代,2533,9
hitchhiker,2542,3
不知不觉,2545,20
RonClements,2565,3
小毛,2568,88
說,2656,86
伊丽莎白,2742,29
迪安,2771,3
imagine,2774,140
勿忘,2914,7
差强人意,2921,18
師之鳴,2939,4
Geroge,2943,11
Schuebel,2954,3
星战,2957,8
200901,2965,38
理念,3003,27
乔恩,3030,22
李小龍,3052,4
苏照斌,3056,4
gabriele,3060,4
Monk,3064,3
Fatih,3067,4
Pont,3071,3
町,3074,5
凤凰,3079,67
琐碎,3146,23
Wild,3169,3
斯基努,3172,3
哥伦布,3175,11
韩片,3186,99
拉博夫,3285,14
AlbertoGrannado,3299,3
Parigi,3302,3
OB,3305,10
America,3315,695
流星雨,4010,4
Pas,4014,3
线性,4017,24
